############################################################
# SHIM CENSUS: 245 inline shims in stdafx_linux.h
#   adapt=2, noop-const=114, noop-risky=69, real=60
# NOTE: classification is heuristic triage, not an audited verdict.
# 'noop-risky' entries need human review (do they break callers?).
############################################################
shim_name	classification	caller_count	callers	signature
GetSystemMetrics	noop-const	13	source/error.cpp,source/keyboard_mouse.cpp,source/lib/Gui.ListView.cpp,source/lib/Gui.StatusBar.cpp,source/lib/env.cpp,source/lib/pixel.cpp,source/lib/vars.cpp,source/linux/gui/script_menu_linux.cpp,source/script.cpp,source/script2.cpp,source/script_gui.cpp,source/script_menu.cpp	{
FindWindow	noop-risky	8	source/AutoHotkey.cpp,source/WinGroup.cpp,source/defines.h,source/hook.cpp,source/lib/win.cpp,source/script2.cpp,source/util.cpp,source/window.cpp	{
LoadLibrary	noop-risky	6	source/error.cpp,source/keyboard_mouse.cpp,source/lib/DllCall.cpp,source/script.cpp,source/script_gui.cpp,source/util.cpp	{
LoadLibraryEx	noop-risky	1	source/util.cpp	{
FreeLibrary	noop-risky	5	source/keyboard_mouse.cpp,source/lib/DllCall.cpp,source/script.cpp,source/script_gui.cpp,source/util.cpp	{
LoadImage	noop-risky	3	source/script.cpp,source/script2.cpp,source/util.cpp	{
CopyImage	noop-const	3	source/script.cpp,source/script_gui.cpp,source/util.cpp	{
GetIconInfo	noop-const	2	source/lib/pixel.cpp,source/util.cpp	{
DestroyIcon	noop-risky	7	source/lib/Gui.StatusBar.cpp,source/lib/pixel.cpp,source/script.cpp,source/script2.cpp,source/script_gui.cpp,source/script_menu.cpp,source/util.cpp	{
CreateIconIndirect	noop-risky	2	source/script.cpp,source/util.cpp	{
GetObject	noop-const	2	source/script_gui.cpp,source/util.cpp	{
EnumResourceNames	noop-const	1	source/util.cpp	{
CreateStreamOnHGlobal	noop-risky	1	source/util.cpp	{
OleLoadPicture	noop-risky	1	source/util.cpp	{
GetModuleHandle	noop-const	7	source/KuString.h,source/lib/DllCall.cpp,source/lib/InputBox.cpp,source/os_version.cpp,source/script_com.cpp,source/util.cpp,source/window.cpp	{
FindResource	noop-risky	4	source/AutoHotkey.cpp,source/lib/file.cpp,source/script.cpp,source/util.cpp	{
LoadResource	noop-risky	4	source/KuString.h,source/lib/file.cpp,source/script.cpp,source/util.cpp	{
LockResource	noop-const	4	source/KuString.h,source/lib/file.cpp,source/script.cpp,source/util.cpp	{
SizeofResource	noop-const	4	source/KuString.h,source/lib/file.cpp,source/script.cpp,source/util.cpp	{
CreateIconFromResourceEx	noop-risky	1	source/util.cpp	{
ExtractIcon	noop-const	2	source/script.cpp,source/util.cpp	{
CreateCompatibleDC	noop-risky	3	source/lib/pixel.cpp,source/script_gui.cpp,source/util.cpp	{
CreateCompatibleBitmap	noop-risky	3	source/lib/pixel.cpp,source/script_gui.cpp,source/util.cpp	{
SelectObject	noop-const	3	source/lib/pixel.cpp,source/script_gui.cpp,source/util.cpp	{
FillRect	noop-const	2	source/script_gui.cpp,source/util.cpp	{
DrawIconEx	noop-risky	1	source/util.cpp	{
